frame,ear,threshold,mov_ear_3,mov_ear_5,mov_ear_7
0,0.2624966618810116,0.0,,,
1,0.25641273516587065,0.0,,,
2,0.2807339722784771,0.0,0.2665477897751198,,
3,0.263398210936858,0.0,0.2668483061270686,0.26359847932129266,
4,0.2549508163442457,0.0,0.26636099985319367,0.26346117772659783,0.26358959611055993
5,0.2618101539075375,0.0,0.2600530603962138,0.26524355514540743,0.2643194024656971
6,0.2653246222599189,0.0,0.2606951975039007,0.2626178219631064,0.26533554799502446
7,0.2676053063669717,0.0,0.2649133608448093,0.26264333054996725,0.26690434229586374
8,0.2635257538711622,0.0,0.26548522749935094,0.2699962737579884,0.2740147858289005
9,0.2917155323843515,0.0,0.27428219754082855,0.28026850611010407,0.28151940205288145
10,0.3131713156681155,1.0,0.2894708673078766,0.2887002076405428,0.2910171363233508
11,0.3074831299121125,0.0,0.3041233259881933,0.30083800512731296,0.2979785843457578
12,0.32829429380082265,0.0,0.3163162464603502,0.3109438060364341,0.3061141737717428
13,0.3140547584167679,0.0,0.3166107273765677,0.31751158602933716,0.3123967171574911
14,0.3245544323488666,0.0,0.3223011615221525,0.31637803440999407,0.3149471134819722
15,0.30750355757140024,0.0,0.3153709161123451,0.31679506975871535,0.3148103713640213
16,0.30956830665571944,0.0,0.31387543219199543,0.3135790351670428,0.3147742368496112
17,0.3122141208424599,0.0,0.30976199502319296,0.31221412114593755,0.31417178598503376
18,0.3072301883112416,0.0,0.3096708719364735,0.3121186622259202,0.31519975155486246
19,0.3240771377487804,0.0,0.31450714896749393,0.314868054192754,0.31561161496095813
20,0.3212505174055693,0.0,0.31751928115519706,0.31844188809991747,0.31540936179824425
21,0.32743747619153674,0.0,0.324255043781962,0.31721662101790626,0.31297283707227563
22,0.30608778543240334,0.0,0.31825859300983633,0.31427311007044556,0.3105452540456832
23,0.29251263357393814,0.0,0.3086792983992928,0.30850189045195203,0.30856760514947634
24,0.2952210396563125,0.0,0.2979404862208848,0.302929116178397,0.30362582111635905
25,0.2933866460377941,0.0,0.29370677308934834,0.2953385508434815,0.3030627018097209
26,0.2894846495169594,0.0,0.2926974450703552,0.2975827302088213,0.2977620633535812
27,0.31730868225910214,1.0,0.3000599926046184,0.2971468048937453,0.2976913407939928
28,0.2903330069985578,0.0,0.2990421129248733,0.29922114246553966,0.29772801685638584
29,0.30559272751528405,0.0,0.30441147225764836,0.29909768646011886,0.29787770696029436
