frame,threshold,blink,ear_norm
0,0,0.0,0.772682006612691
1,0,0.0,0.7261112838457368
2,0,0.0,0.7393165306380686
3,0,0.0,0.8581007763741229
4,0,0.0,0.9784188007555312
5,0,0.0,0.9564328433937229
6,0,0.0,0.9322696762845374
7,0,0.0,0.8916514541776361
8,0,0.0,1.0
9,0,0.0,0.8500812359043556
10,0,0.0,0.8219808079745782
11,0,0.0,0.8893676592943222
12,0,0.0,0.8008575755140122
13,0,0.0,0.8475687220808367
14,0,0.0,0.7730020139468596
15,0,0.0,0.7763272985684015
16,0,0.0,0.8236865605827898
17,0,0.0,0.8029913390351748
18,0,0.0,0.8008575755140122
19,0,0.0,0.7541834726525508
20,0,0.0,0.7140893161154915
21,0,0.0,0.6642932618043882
22,0,0.0,0.6750618639991326
23,0,0.0,0.7085078749413476
24,0,0.0,0.7369482734171446
25,0,0.0,0.685784360630432
26,0,0.0,0.2271462912101588
27,0,0.0,0.04993513812675853
28,0,0.0,0.3242612320190492
29,1,1.0,0.45536340778678036
30,0,0.0,0.5643361115450504
31,0,0.0,0.627348457631057
32,0,0.0,0.6023571984420588
33,0,0.0,0.7213629793441663
34,0,0.0,0.6610607248532256
35,0,0.0,0.7299069984886417
36,0,0.0,0.6630034425871557
37,0,0.0,0.7217632660955388
38,0,0.0,0.6749110331140762
39,0,0.0,0.7523771047868261
40,0,0.0,0.7051893001947223
41,0,0.0,0.7462687978787806
42,0,0.0,0.6401984376834141
43,0,0.0,0.6871997922243114
44,0,0.0,0.7498666835939953
45,0,0.0,0.6408220081052775
46,0,0.0,0.7651137240128384
47,0,0.0,0.7058528917251711
48,0,0.0,0.709704665030407
49,0,0.0,0.7202462190236604
50,0,0.0,0.756582995852576
51,0,0.0,0.7328730441585974
52,0,0.0,0.7723818600795843
53,0,0.0,0.7241982762386082
54,0,0.0,0.7868065646451546
55,0,0.0,0.8094333516277091
56,0,0.0,0.7305985418001695
57,0,0.0,0.6928211082718521
58,0,0.0,0.7492137790464877
59,0,0.0,0.7269207507057946
60,0,0.0,0.7287118490268242
61,0,0.0,0.7607989639483886
62,0,0.0,0.5335496670180427
63,0,0.0,0.08818948593250434
64,0,0.0,0.1783185442056143
65,1,0.0,0.523701746841135
66,0,1.0,0.5810511947431448
67,0,0.0,0.6399416149882364
68,0,0.0,0.6782540476694526
69,0,0.0,0.7708414164040646
70,0,0.0,0.7708414164040646
71,0,0.0,0.8409551028330965
72,0,0.0,0.7781087314270952
73,0,0.0,0.7850740835833501
74,0,0.0,0.8441574730202246
75,0,0.0,0.8126396475129586
76,0,0.0,0.8103341944799437
77,0,0.0,0.8037493360683009
78,0,0.0,0.7998904766748731
79,0,0.0,0.7617202600576256
80,0,0.0,0.7178217783772748
81,0,0.0,0.805483280293162
82,0,0.0,0.7684379105149751
83,0,0.0,0.741522780026682
84,0,0.0,0.7131001030518105
85,0,0.0,0.8073583786555089
86,0,0.0,0.8285501557949976
87,0,0.0,0.9167082711199973
88,0,0.0,0.820452578111949
89,0,0.0,0.7512101103826451
90,0,0.0,0.21292304538768134
91,0,0.0,0.10920999081639761
92,0,0.0,0.36213545144132425
93,1,1.0,0.5091310614365229
94,0,0.0,0.6502151708157295
95,0,0.0,0.6501594359236684
96,0,0.0,0.6828178844211114
97,0,0.0,0.7655262174259237
98,0,0.0,0.7950191918758718
99,0,0.0,0.9131894592863912
100,0,0.0,0.9300942677322164
101,0,0.0,0.9301151088215104
102,0,0.0,0.9514215542666613
103,0,0.0,0.8831576655243889
104,0,0.0,0.9030983731453003
105,0,0.0,0.32739712114215513
106,0,0.0,0.11591210854706169
107,0,0.0,0.29902385596822884
108,1,0.0,0.49500003312323254
109,0,0.0,0.5485149663580116
110,0,0.0,0.5493319572107498
111,0,0.0,0.6410017071419433
112,0,0.0,0.6702994141098794
113,0,0.0,0.6928683106184308
114,0,0.0,0.7277435945153602
115,0,0.0,0.7322699078362953
116,0,0.0,0.7314997108154013
117,0,0.0,0.7508658246021064
118,0,0.0,0.7324852097033079
119,0,0.0,0.7086901767959415
120,0,0.0,0.7329789306630227
121,0,0.0,0.7221250721570195
122,0,0.0,0.7729694832038869
123,0,0.0,0.7561491720939595
124,0,0.0,0.710105344760368
125,0,0.0,0.7102170143129131
126,0,0.0,0.796252876998156
127,0,0.0,0.8239140497882307
128,0,0.0,0.8238443948763547
129,0,0.0,0.8240288469859159
130,0,0.0,0.8492468355606172
131,0,0.0,0.7950639077549135
132,0,0.0,0.7188913258432265
133,0,0.0,0.7802599868105025
134,0,0.0,0.7781489152743405
135,0,0.0,0.7481767753599274
136,0,0.0,0.7140893161154915
137,0,0.0,0.6179476570553882
138,0,0.0,0.09374933455065489
139,0,0.0,0.16693184732635055
140,0,0.0,0.4172217279822712
141,1,1.0,0.5405629675260004
142,0,0.0,0.6173462523024287
143,0,0.0,0.6408220081052775
144,0,0.0,0.6808970154319871
145,0,0.0,0.6467042379059043
146,0,0.0,0.6907553920591685
147,0,0.0,0.698669463537169
148,0,0.0,0.7438601748810348
149,0,0.0,0.6388733966084819
150,0,0.0,0.645964271273174
151,0,0.0,0.7146785283189822
152,0,0.0,0.698895605375798
153,0,0.0,0.6941010755315095
154,0,0.0,0.7587120012700576
155,0,0.0,0.8759204181229826
156,0,0.0,0.8293529257299056
157,0,0.0,0.8486742460222069
158,0,0.0,0.8920235579232357
159,0,0.0,0.8340364143287756
160,0,0.0,0.855679937953052
161,0,0.0,0.8105987285970796
162,0,0.0,0.8305273760229682
163,0,0.0,0.8065263762703788
164,0,0.0,0.806405499218157
165,0,0.0,0.9008488626352541
166,0,0.0,0.8312582989416988
167,0,0.0,0.8767571885580121
168,0,0.0,0.874851597344576
169,0,0.0,0.8987767367996455
170,0,0.0,0.8402855549860562
171,0,0.0,0.8768704410614159
172,0,0.0,0.8298703170170167
173,0,0.0,0.4400027809715212
174,0,0.0,0.045366931435045575
175,0,0.0,0.299892925935028
176,1,1.0,0.44916708886448564
177,0,0.0,0.5968785063282435
178,0,0.0,0.6248138109500193
179,0,0.0,0.7320621163227583
180,0,0.0,0.7624493808899685
181,0,0.0,0.7074301626719791
182,0,0.0,0.6965874624310883
183,0,0.0,0.7592180185153072
184,0,0.0,0.6932761923097022
185,0,0.0,0.7140893161154915
186,0,0.0,0.7186065888616023
187,0,0.0,0.7609721463466934
188,0,0.0,0.762590763410466
189,0,0.0,0.7487438757568666
190,0,0.0,0.7605130607923042
191,0,0.0,0.7942849826015573
192,0,0.0,0.7620319121491964
193,0,0.0,0.7839440271637576
194,0,0.0,0.7815409863388354
195,0,0.0,0.7794632837206734
196,0,0.0,0.8245158894816286
197,0,0.0,0.76271992782995
198,0,0.0,0.781361844431158
199,0,0.0,0.7993827375965586
200,0,0.0,0.8054765224265362
201,0,0.0,0.7655911477985522
202,0,0.0,0.7998748402565817
203,0,0.0,0.5965760779079101
204,0,0.0,0.2124085397037987
205,0,0.0,0.11899493893537619
206,0,0.0,0.12403087923666789
207,0,1.0,0.16311088326501194
208,1,0.0,0.5173229124719334
209,0,0.0,0.767049742010058
210,0,0.0,0.8672107671991824
211,0,0.0,0.867576339694341
