frame,threshold,blink,ear_norm
0,0,0.0,0.712654670190184
1,0,0.0,0.8041344457039606
2,0,0.0,0.7273726711090988
3,0,0.0,0.6015484600694802
4,0,0.0,0.7171688491969933
5,0,0.0,0.692640232014654
6,0,0.0,1.0
7,0,0.0,0.7518802108607743
8,0,0.0,0.7725217262066083
9,0,0.0,0.9964300552400246
10,0,0.0,0.8614059088793404
11,0,0.0,0.8021122402657975
12,0,0.0,0.6932866740122706
13,0,0.0,0.7132255870991372
14,0,0.0,0.8776759884518128
15,0,0.0,0.7719764329045098
16,0,0.0,0.7935920653722717
17,0,0.0,0.7448901940636008
18,0,0.0,0.6029034188683821
19,0,0.0,0.7071120677177644
20,0,0.0,0.6647713372195218
21,0,0.0,0.8057242829820889
22,0,0.0,0.6625787443797496
23,0,0.0,0.7724294386967764
24,0,0.0,0.6427131011005169
25,0,0.0,0.7408108209952791
26,0,0.0,0.6160801233938138
27,0,0.0,0.7392959089834881
28,0,0.0,0.5685631356931633
29,0,0.0,0.7563395769743845
30,1,0.0,0.7021645438941961
31,0,0.0,0.7238345994192213
32,0,0.0,0.6828647269146093
33,0,0.0,0.706526879177379
34,0,0.0,0.778058080649608
35,0,0.0,0.6300058603463317
36,0,0.0,0.8776759884518128
37,0,0.0,0.657787784382471
38,0,0.0,0.997627788676667
39,0,0.0,0.6409853065336111
40,0,0.0,0.6230359119922496
41,0,0.0,0.5939075756306252
42,0,0.0,0.6349351173297125
43,0,0.0,0.69099114948025
44,0,0.0,0.6509989058407009
45,0,0.0,0.7512788500211611
46,0,0.0,0.6793280304968554
47,0,0.0,0.7023467912602757
48,0,0.0,0.2659937259507999
49,0,0.0,0.3371877991204051
50,0,0.0,0.6184771017131747
51,0,1.0,0.6525631853201804
52,0,0.0,0.6302620539958804
53,0,0.0,0.6475013128678129
54,0,0.0,0.6484689717172128
55,0,0.0,0.6642169732068467
56,0,0.0,0.6742275131010201
57,0,0.0,0.6957324215330244
58,0,0.0,0.6968874855669875
59,0,0.0,0.7228649807095288
60,0,0.0,0.8034966888156322
61,1,0.0,0.7877958654788562
62,0,0.0,0.7977088901709856
63,0,0.0,0.802874500790455
64,0,0.0,0.81321579200786
65,0,0.0,0.8131819844924192
66,0,0.0,0.797756315472823
67,0,0.0,0.8425494421803478
68,0,0.0,0.8425494421803478
69,0,0.0,0.8124999323659852
70,0,0.0,0.7965345711126173
71,0,0.0,0.8119377219721372
72,0,0.0,0.7823026709491527
73,0,0.0,0.8137291109491872
74,0,0.0,0.7568660943364485
75,0,0.0,0.7603235052986496
76,0,0.0,0.781100798568402
77,0,0.0,0.7167816040257143
78,0,0.0,0.6364023308695534
79,0,0.0,0.18058215629508553
80,0,0.0,0.5478046563818576
81,1,0.0,0.6284789647179718
82,0,1.0,0.6201138321746396
83,0,0.0,0.6747825617844828
84,0,0.0,0.5836534973521369
85,0,0.0,0.608304406142513
86,0,0.0,0.5901181962565702
87,0,0.0,0.6797628154307196
88,0,0.0,0.6684258607013182
89,0,0.0,0.6515696956144258
90,0,0.0,0.6207384220403591
91,1,0.0,0.6372877160455723
92,0,0.0,0.6515599531854444
93,0,0.0,0.6579330853108043
94,0,0.0,0.3442171693702253
95,0,0.0,0.19315362799388436
96,0,0.0,0.5027052387412667
97,0,1.0,0.5296249908200127
98,1,0.0,0.5884010024677762
99,0,0.0,0.594499526924926
100,0,0.0,0.5618161755965798
101,0,0.0,0.6261572785496242
102,0,0.0,0.6099952785257575
103,0,0.0,0.5687684880236182
104,0,0.0,0.6025308106216234
105,0,0.0,0.619053602375907
106,0,0.0,0.594646484031524
107,0,0.0,0.5785097684586554
108,0,0.0,0.5592907383221855
109,0,0.0,0.5522078561234764
110,1,0.0,0.5355818899085956
111,0,0.0,0.628731229992498
112,0,0.0,0.6301433099325202
113,0,0.0,0.5755650938206899
114,0,0.0,0.6120982675736166
115,0,0.0,0.2676621786424106
116,0,0.0,0.23358656249243162
117,0,0.0,0.5204524640809134
118,0,1.0,0.6216033196784733
119,0,0.0,0.6630990185093784
120,0,0.0,0.7348093243200579
121,0,0.0,0.8001824939296659
122,0,0.0,0.7281408784020995
123,0,0.0,0.7111543118069339
124,0,0.0,0.7001298304086114
125,0,0.0,0.7339307079954496
126,0,0.0,0.7347947166426991
127,0,0.0,0.7392570205263495
128,0,0.0,0.2680092458477613
129,0,0.0,0.33782726198902996
130,0,0.0,0.6049678780424064
131,0,1.0,0.6448870770745351
132,0,0.0,0.6854156183380992
133,0,0.0,0.7007294844606388
134,0,0.0,0.7720590714354532
135,0,0.0,0.7970492776435919
136,0,0.0,0.7502492005512095
137,0,0.0,0.869978643586052
138,1,0.0,0.917950129729523
139,0,0.0,0.9183884084262988
140,0,0.0,0.7927019631219823
141,0,0.0,0.7768120661220147
142,0,0.0,0.7279658482395222
143,0,0.0,0.7884603748020732
144,0,0.0,0.8053638175334114
145,0,0.0,0.7922191685820669
146,0,0.0,0.9062601169672266
147,0,0.0,0.8601454227175174
148,0,0.0,0.8553507057886833
149,0,0.0,0.8162486318475918
150,0,0.0,0.7922836897676111
151,0,0.0,0.8213063384825281
152,0,0.0,0.8546296970756263
153,1,0.0,0.8381467728307457
154,0,0.0,0.7604351107669538
155,0,0.0,0.7852200203752434
156,0,0.0,0.2895205386336081
157,0,0.0,0.5634737465204529
158,0,0.0,0.7126314000323456
159,0,1.0,0.8226616161010077
160,0,0.0,0.8714351332231146
161,0,0.0,0.8456092099970202
162,0,0.0,0.7844572541936566
163,0,0.0,0.7392808387603628
164,0,0.0,0.76809487833982
165,0,0.0,0.7883092556415444
166,0,0.0,0.751293788591392
167,1,0.0,0.6966205393051804
168,0,0.0,0.6511901375186495
169,0,0.0,0.6080021644645829
170,0,0.0,0.49458123181014774
171,0,0.0,0.22617335439590314
172,0,0.0,0.5634737465204529
173,0,1.0,0.6627263868812184
174,0,0.0,0.768554381752663
175,0,0.0,0.8551860538083134
176,0,0.0,0.8053587905323956
177,0,0.0,0.7852792099176085
178,0,0.0,0.8064652491657166
179,1,0.0,0.7726147627478445
180,0,0.0,0.8095125103991075
181,0,0.0,0.8261588318030283
182,0,0.0,0.8386385060927946
183,0,0.0,0.7966687855090434
184,0,0.0,0.34052164425713155
185,0,0.0,0.22852911714386107
186,0,0.0,0.30938685498321206
187,0,1.0,0.6495639537095056
188,0,0.0,0.7124844134601114
189,0,0.0,0.6843528102954247
190,0,0.0,0.6737048741636625
191,0,0.0,0.6746522207748951
192,0,0.0,0.670263158026406
193,0,0.0,0.6065138306306049
194,0,0.0,0.6166789935867888
195,0,0.0,0.5513811663545098
196,0,0.0,0.561051838577849
197,0,0.0,0.57032023773104
198,0,0.0,0.5354235057752809
199,0,0.0,0.6419064095992535
200,0,0.0,0.6306439387989974
201,0,0.0,0.6143028938490852
202,0,0.0,0.6374970775153862
203,0,0.0,0.6414097831275934
204,0,0.0,0.6318730081359851
205,1,0.0,0.6569266715188591
206,0,0.0,0.647589764265026
207,0,0.0,0.6638244298963588
208,0,0.0,0.6686254306529416
209,0,0.0,0.6957565290781035
210,0,0.0,0.696341370789714
211,0,0.0,0.6961513876595102
212,0,0.0,0.6532991262262351
213,1,0.0,0.7342100488100016
214,0,0.0,0.6908955568958868
215,0,0.0,0.6908955568958868
216,0,0.0,0.6412918749307596
217,0,0.0,0.6582108728760212
218,0,0.0,0.6799993039071921
219,1,0.0,0.37721980074344663
220,0,0.0,0.27177604622324264
221,0,0.0,0.4869517630834744
222,0,1.0,0.5184569590229459
223,0,0.0,0.5931533560010004
224,0,0.0,0.5780424128198547
225,0,0.0,0.6312734533127593
226,0,0.0,0.5923621827419501
227,0,0.0,0.6454165419977601
228,0,0.0,0.586332232666559
229,0,0.0,0.19096016417757528
230,0,0.0,0.1713534379093937
231,0,0.0,0.3682511323558992
232,0,0.0,0.5612746057242601
233,0,0.0,0.6080021644645829
234,0,0.0,0.6291777989693093
235,0,0.0,0.6281017064217819
236,0,0.0,0.19329419533396824
237,0,0.0,0.18996797366065518
238,0,0.0,0.5379477334124303
239,0,0.0,0.6684258607013182
240,0,0.0,0.6690055493970527
241,0,0.0,0.6737048741636625
242,0,0.0,0.7228844102053726
243,0,0.0,0.7066244763760214
244,0,0.0,0.7064928564620127
245,0,0.0,0.6902280478210316
246,0,0.0,0.6698983680550225
247,0,0.0,0.6416684638860395
248,0,0.0,0.614769181433105
249,0,0.0,0.6148825546992912
250,0,0.0,0.6435030894266762
251,1,0.0,0.6274048283271858
252,0,0.0,0.6962644409149813
253,0,0.0,0.6693274511460691
254,0,0.0,0.6911649865956023
255,0,0.0,0.6802584035160625
256,0,0.0,0.680736617622069
257,0,0.0,0.6920274329742311
258,0,0.0,0.6436728409906904
259,0,0.0,0.6225109867967591
260,0,0.0,0.6961279461893424
261,0,0.0,0.6155483190830331
262,0,0.0,0.6903460730542622
263,0,0.0,0.670101102606082
264,0,0.0,0.6913316071806692
265,0,0.0,0.7066244763760218
266,1,0.0,0.6692486257781284
267,0,0.0,0.7066244763760218
268,0,0.0,0.1967471428436171
269,0,0.0,0.298830129956256
270,0,0.0,0.5646284540098577
271,0,1.0,0.6291242073843625
272,0,0.0,0.6745568734733302
273,0,0.0,0.6958303102839175
274,0,0.0,0.6954216137963785
275,0,0.0,0.6960662527738802
